address,chain,token,designation,attribution,source_note,first_recorded
T9yb6vP8o8PQJLNmcCkC9wfk73ULTCy2MB,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2025-09-22
T9yfDTx9adWW1rN6E4UVMUoCQBwzb6wxsc,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2025-09-22
TA3941uFAvmVibSkQ6fMJXxmaSNovX86mz,tron,USDT,sanctions_listed,Sanctioned - OFAC,Sanctioned - OFAC,2025-04-30
TA39q3p75XRSWYAEaSF7dANtyksoa3sLge,tron,USDT,sanctions_listed,Sanctioned - OFAC,Sanctioned - OFAC,2025-11-04
TA3rH2A7iHnm6pKH8gr9cK1EZnShnmZdFg,tron,USDT,sanctions_listed,Sanctioned - OFAC,Sanctioned - OFAC,2026-07-01
TA5hrVymvwgXXRfp9miQKDZKJ11fWdk1fT,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2026-06-05
TA82wQ77kb9DieW4C8q7C4KwMfnCzfziqN,tron,USDT,sanctions_listed,Sanctioned - OFAC,Sanctioned - OFAC,2026-07-01
TA9XWZ7RLGwfKcTWFXs3cBHRuR388YNugT,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2023-09-22
TA9f6oyvsh2VzEB19hYk2Az4hZpHQjT18b,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2024-03-09
TAEKKjTXhKYjewhdsxyk6T8oev8A6PriBu,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2025-09-22
TAGjwGdZJ2UGHMjXyQeowFSEa1BKFCRnsE,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2026-06-11
TAHEHY7wQncEfQc9gJq5RWX8RfCrvuNbTC,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2025-01-28
TAHg5ZFkxaJq5wE6pGpM8mY5Q1YEvz6W3G,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2026-05-06
TALdAcSzoXR1Vqzc29Vk9MrkoTCqCXFvQM,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2025-01-28
TAMJPjL5kY4BQGjfA4X3FuzHaEb6FvmHP1,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2025-01-28
TAQPzv9941nVuTj4ng2vd6L11Re57r42pW,tron,USDT,sanctions_listed,Sanctioned - OFAC,Sanctioned - OFAC,2026-09-08
TAR2KrCfTST5BQXs7D7N4HYHx6FBt4bzLh,tron,USDT,sanctions_listed,Sanctioned - NBCTF,Sanctioned - NBCTF,2024-03-08
